module,medianRank,Zsummary,size,decision,sizemod
black,4,39.77196201,428,Preserved,Medium
blue,13,20.67999458,1000,Non-Preserved,Large
brown,17,13.75226641,1000,Non-Preserved,Large
cyan,27,0.903828494,201,Non-Preserved,Small
darkgreen,40,-0.769598917,91,Non-Preserved,Small
darkgrey,35,0.255218308,66,Non-Preserved,Small
darkmagenta,32,-0.351441662,51,Non-Preserved,Small
darkolivegreen,28,0.53291253,52,Non-Preserved,Small
darkorange,35,0.632450075,66,Non-Preserved,Small
darkred,11,6.746606579,99,Non-Preserved,Small
darkturquoise,32,0.014671501,83,Non-Preserved,Small
gold,24,5.989694312,1000,Non-Preserved,Large
green,7,22.87689016,479,Non-Preserved,Medium
greenyellow,12,15.07247065,284,Non-Preserved,Medium
grey60,15,6.161641652,125,Non-Preserved,Small
lightcyan,18,5.817403387,160,Non-Preserved,Small
lightgreen,1,23.29144369,123,Preserved,Small
lightsteelblue1,39,-0.607767038,37,Non-Preserved,Small
lightyellow,24,2.496635009,117,Non-Preserved,Small
magenta,17,9.622950733,346,Non-Preserved,Medium
mediumpurple3,40,-0.735243396,41,Non-Preserved,Small
midnightblue,25,0.845288299,177,Non-Preserved,Small
orange,14,5.044193289,67,Non-Preserved,Small
orangered4,23,0.862786114,41,Non-Preserved,Small
paleturquoise,9,4.976049649,54,Non-Preserved,Small
pink,12,14.28592652,367,Non-Preserved,Medium
plum1,28,-0.15073822,48,Non-Preserved,Small
purple,2,34.77332978,294,Preserved,Medium
red,16,14.00622182,431,Non-Preserved,Medium
royalblue,39,-0.76888413,98,Non-Preserved,Small
saddlebrown,33,0.38120187,60,Non-Preserved,Small
salmon,8,15.61786797,210,Non-Preserved,Small
sienna3,32,0.450183842,49,Non-Preserved,Small
skyblue,34,-0.531368189,62,Non-Preserved,Small
skyblue3,34,0.587937075,48,Non-Preserved,Small
steelblue,3,11.55458558,58,Preserved,Small
tan,5,17.55854448,222,Non-Preserved,Small
turquoise,21,8.596612652,1000,Non-Preserved,Large
violet,22,0.64797437,54,Non-Preserved,Small
white,38,-0.836305313,66,Non-Preserved,Small
yellow,9,24.37329316,686,Non-Preserved,Large
yellowgreen,31,-0.529502022,48,Non-Preserved,Small
